fp,threshold,tp
910,0.8790000000000002,9428
910,0.8800000000000002,9428
910,0.8810000000000002,9428
910,0.8820000000000002,9428
910,0.8830000000000002,9428
910,0.8840000000000002,9428
910,0.8850000000000002,9428
910,0.8860000000000002,9428
910,0.8870000000000002,9428
910,0.8880000000000002,9428
910,0.8890000000000002,9428
910,0.8900000000000002,9428
910,0.8910000000000002,9428
910,0.8920000000000002,9428
910,0.8930000000000002,9428
910,0.8940000000000002,9428
910,0.8950000000000002,9428
910,0.8960000000000002,9428
910,0.8970000000000002,9428
910,0.8980000000000002,9428
910,0.8990000000000002,9428
910,0.9000000000000002,9428
910,0.9010000000000002,9428
910,0.9020000000000002,9428
910,0.9030000000000002,9428
910,0.9040000000000002,9428
910,0.9050000000000002,9428
910,0.9060000000000002,9428
910,0.9070000000000003,9428
910,0.9080000000000003,9428
910,0.9090000000000003,9428
910,0.9100000000000003,9428
910,0.9110000000000003,9428
910,0.9120000000000003,9428
910,0.9130000000000003,9428
910,0.9140000000000003,9428
910,0.9150000000000003,9428
910,0.9160000000000003,9428
910,0.9170000000000003,9428
910,0.9180000000000003,9428
910,0.9190000000000003,9428
910,0.9200000000000003,9428
910,0.9210000000000003,9428
910,0.9220000000000003,9428
910,0.9230000000000003,9428
910,0.9240000000000003,9428
910,0.9250000000000003,9428
910,0.9260000000000003,9428
910,0.9270000000000003,9428
910,0.9280000000000003,9428
910,0.9290000000000003,9428
910,0.9300000000000003,9428
910,0.9310000000000003,9428
910,0.9320000000000003,9428
910,0.9330000000000003,9428
910,0.9340000000000003,9428
910,0.9350000000000003,9428
910,0.9360000000000003,9428
910,0.9370000000000003,9428
910,0.9380000000000003,9428
910,0.9390000000000003,9428
910,0.9400000000000003,9428
910,0.9410000000000003,9428
910,0.9420000000000003,9428
910,0.9430000000000003,9428
910,0.9440000000000003,9428
910,0.9450000000000003,9428
910,0.9460000000000003,9428
910,0.9470000000000003,9428
910,0.9480000000000003,9428
910,0.9490000000000003,9428
910,0.9500000000000003,9428
910,0.9510000000000003,9428
910,0.9520000000000003,9428
910,0.9530000000000003,9428
910,0.9540000000000003,9428
910,0.9550000000000003,9428
910,0.9560000000000003,9428
910,0.9570000000000003,9428
910,0.9580000000000003,9428
910,0.9590000000000003,9428
910,0.9600000000000003,9428
910,0.9610000000000003,9428
910,0.9620000000000003,9428
910,0.9630000000000003,9428
910,0.9640000000000003,9428
910,0.9650000000000003,9428
910,0.9660000000000003,9428
910,0.9670000000000003,9428
910,0.9680000000000003,9428
910,0.9690000000000003,9428
910,0.9700000000000003,9428
910,0.9710000000000003,9428
910,0.9720000000000003,9428
910,0.9730000000000003,9428
910,0.9740000000000003,9428
910,0.9750000000000003,9428
910,0.9760000000000003,9428
910,0.9770000000000003,9428
910,0.9780000000000003,9428
910,0.9790000000000003,9428
910,0.9800000000000003,9428
910,0.9810000000000003,9428
910,0.9820000000000003,9428
910,0.9830000000000003,9428
910,0.9840000000000003,9428
910,0.9850000000000003,9428
910,0.9860000000000003,9428
910,0.9870000000000003,9428
910,0.9880000000000003,9428
910,0.9890000000000003,9428
910,0.9900000000000003,9428
910,0.9910000000000003,9428
910,0.9920000000000003,9428
910,0.9930000000000003,9428
910,0.9940000000000003,9428
910,0.9950000000000003,9428
910,0.9960000000000003,9428
910,0.9970000000000003,9428
910,0.9980000000000003,9428
910,0.9990000000000003,9428
910,1.0000000000000004,9428
910,1.0010000000000003,9428
910,1.0020000000000002,9428
910,1.0030000000000003,9428
910,1.0040000000000004,9428
910,1.0050000000000003,9428
910,1.0060000000000002,9428
910,1.0070000000000003,9428
910,1.0080000000000005,9428
910,1.0090000000000003,9428
910,1.0100000000000002,9428
910,1.0110000000000003,9428
910,1.0120000000000005,9428
910,1.0130000000000003,9428
910,1.0140000000000002,9428
910,1.0150000000000003,9428
910,1.0160000000000005,9428
910,1.0170000000000003,9428
910,1.0180000000000002,9428
910,1.0190000000000003,9428
910,1.0200000000000005,9428
910,1.0210000000000004,9428
910,1.0220000000000002,9428
910,1.0230000000000004,9428
910,1.0240000000000005,9428
910,1.0250000000000004,9428
910,1.0260000000000002,9428
910,1.0270000000000004,9428
910,1.0280000000000005,9428
910,1.0290000000000004,9428
910,1.0300000000000002,9428
910,1.0310000000000004,9428
910,1.0320000000000005,9428
910,1.0330000000000004,9428
910,1.0340000000000003,9428
910,1.0350000000000004,9428
910,1.0360000000000005,9428
910,1.0370000000000004,9428
910,1.0380000000000003,9428
910,1.0390000000000004,9428
910,1.0400000000000005,9428
910,1.0410000000000004,9428
910,1.0420000000000003,9428
910,1.0430000000000004,9428
910,1.0440000000000005,9428
910,1.0450000000000004,9428
910,1.0460000000000003,9428
910,1.0470000000000004,9428
910,1.0480000000000005,9428
910,1.0490000000000004,9428
910,1.0500000000000003,9428
910,1.0510000000000004,9428
910,1.0520000000000005,9428
910,1.0530000000000004,9428
910,1.0540000000000003,9428
910,1.0550000000000004,9428
910,1.0560000000000005,9428
910,1.0570000000000004,9428
910,1.0580000000000003,9428
910,1.0590000000000004,9428
910,1.0600000000000005,9428
910,1.0610000000000004,9428
910,1.0620000000000003,9428
910,1.0630000000000004,9428
910,1.0640000000000005,9428
910,1.0650000000000004,9428
910,1.0660000000000003,9428
910,1.0670000000000004,9428
910,1.0680000000000005,9428
910,1.0690000000000004,9428
910,1.0700000000000003,9428
910,1.0710000000000004,9428
910,1.0720000000000005,9428
910,1.0730000000000004,9428
910,1.0740000000000003,9428
910,1.0750000000000004,9428
910,1.0760000000000005,9428
910,1.0770000000000004,9428
910,1.0780000000000003,9428
910,1.0790000000000004,9428
910,1.0800000000000005,9428
910,1.0810000000000004,9428
910,1.0820000000000003,9428
910,1.0830000000000004,9428
910,1.0840000000000005,9428
910,1.0850000000000004,9428
910,1.0860000000000003,9428
910,1.0870000000000004,9428
910,1.0880000000000005,9428
910,1.0890000000000004,9428
910,1.0900000000000003,9428
910,1.0910000000000004,9428
910,1.0920000000000005,9428
910,1.0930000000000004,9428
910,1.0940000000000003,9428
910,1.0950000000000004,9428
910,1.0960000000000005,9428
910,1.0970000000000004,9428
910,1.0980000000000003,9428
910,1.0990000000000004,9428
910,1.1000000000000005,9428
910,1.1010000000000004,9428
910,1.1020000000000003,9428
910,1.1030000000000004,9428
910,1.1040000000000005,9428
910,1.1050000000000004,9428
910,1.1060000000000003,9428
910,1.1070000000000004,9428
910,1.1080000000000005,9428
910,1.1090000000000004,9428
910,1.1100000000000003,9428
910,1.1110000000000004,9428
910,1.1120000000000005,9428
910,1.1130000000000004,9428
910,1.1140000000000003,9428
910,1.1150000000000004,9428
910,1.1160000000000005,9428
910,1.1170000000000004,9428
910,1.1180000000000003,9428
910,1.1190000000000004,9428
910,1.1200000000000006,9428
910,1.1210000000000004,9428
910,1.1220000000000003,9428
910,1.1230000000000004,9428
910,1.1240000000000006,9428
910,1.1250000000000004,9428
910,1.1260000000000003,9428
910,1.1270000000000004,9428
910,1.1280000000000006,9428
910,1.1290000000000004,9428
910,1.1300000000000003,9428
910,1.1310000000000004,9428
910,1.1320000000000006,9428
910,1.1330000000000005,9428
910,1.1340000000000003,9428
910,1.1350000000000005,9428
910,1.1360000000000006,9428
910,1.1370000000000005,9428
910,1.1380000000000003,9428
910,1.1390000000000005,9428
910,1.1400000000000006,9428
910,1.1410000000000005,9428
910,1.1420000000000003,9428
910,1.1430000000000005,9428
910,1.1440000000000006,9428
910,1.1450000000000005,9428
910,1.1460000000000004,9428
910,1.1470000000000005,9428
910,1.1480000000000006,9428
910,1.1490000000000005,9428
910,1.1500000000000004,9428
910,1.1510000000000005,9428
910,1.1520000000000006,9428
910,1.1530000000000005,9428
910,1.1540000000000004,9428
910,1.1550000000000005,9428
910,1.1560000000000006,9428
910,1.1570000000000005,9428
910,1.1580000000000004,9428
910,1.1590000000000005,9428
910,1.1600000000000006,9428
910,1.1610000000000005,9428
910,1.1620000000000004,9428
910,1.1630000000000005,9428
910,1.1640000000000006,9428
910,1.1650000000000005,9428
910,1.1660000000000004,9428
910,1.1670000000000005,9428
910,1.1680000000000006,9428
910,1.1690000000000005,9428
910,1.1700000000000004,9428
910,1.1710000000000005,9428
910,1.1720000000000006,9428
910,1.1730000000000005,9428
910,1.1740000000000004,9428
910,1.1750000000000005,9428
910,1.1760000000000006,9428
910,1.1770000000000005,9428
910,1.1780000000000004,9428
910,1.1790000000000005,9428
910,1.1800000000000006,9428
910,1.1810000000000005,9428
910,1.1820000000000004,9428
910,1.1830000000000005,9428
910,1.1840000000000006,9428
910,1.1850000000000005,9428
910,1.1860000000000004,9428
910,1.1870000000000005,9428
910,1.1880000000000006,9428
910,1.1890000000000005,9428
910,1.1900000000000004,9428
910,1.1910000000000005,9428
910,1.1920000000000006,9428
910,1.1930000000000005,9428
910,1.1940000000000004,9428
910,1.1950000000000005,9428
910,1.1960000000000006,9428
910,1.1970000000000005,9428
910,1.1980000000000004,9428
910,1.1990000000000005,9428
910,1.2000000000000006,9428
910,1.2010000000000005,9428
910,1.2020000000000004,9428
910,1.2030000000000005,9428
910,1.2040000000000006,9428
910,1.2050000000000005,9428
910,1.2060000000000004,9428
910,1.2070000000000005,9428
910,1.2080000000000006,9428
910,1.2090000000000005,9428
910,1.2100000000000004,9428
910,1.2110000000000005,9428
910,1.2120000000000006,9428
910,1.2130000000000005,9428
910,1.2140000000000004,9428
910,1.2150000000000005,9428
910,1.2160000000000006,9428
910,1.2170000000000005,9428
910,1.2180000000000004,9428
910,1.2190000000000005,9428
910,1.2200000000000006,9428
910,1.2210000000000005,9428
910,1.2220000000000004,9428
910,1.2230000000000005,9428
910,1.2240000000000006,9428
910,1.2250000000000005,9428
910,1.2260000000000004,9428
910,1.2270000000000005,9428
910,1.2280000000000006,9428
910,1.2290000000000005,9428
910,1.2300000000000004,9428
910,1.2310000000000005,9428
910,1.2320000000000007,9428
910,1.2330000000000005,9428
910,1.2340000000000004,9428
910,1.2350000000000005,9428
910,1.2360000000000007,9428
910,1.2370000000000005,9428
910,1.2380000000000004,9428
910,1.2390000000000005,9428
910,1.2400000000000007,9428
910,1.2410000000000005,9428
910,1.2420000000000004,9428
910,1.2430000000000005,9428
910,1.2440000000000007,9428
910,1.2450000000000006,9428
910,1.2460000000000004,9428
910,1.2470000000000006,9428
910,1.2480000000000007,9428
910,1.2490000000000006,9428
910,1.2500000000000004,9428
910,1.2510000000000006,9428
910,1.2520000000000007,9428
910,1.2530000000000006,9428
910,1.2540000000000004,9428
910,1.2550000000000006,9428
910,1.2560000000000007,9428
910,1.2570000000000006,9428
910,1.2580000000000005,9428
910,1.2590000000000006,9428
910,1.2600000000000007,9428
910,1.2610000000000006,9428
910,1.2620000000000005,9428
910,1.2630000000000006,9428
910,1.2640000000000007,9428
910,1.2650000000000006,9428
910,1.2660000000000005,9428
910,1.2670000000000006,9428
910,1.2680000000000007,9428
910,1.2690000000000006,9428
910,1.2700000000000005,9428
910,1.2710000000000006,9428
910,1.2720000000000007,9428
910,1.2730000000000006,9428
910,1.2740000000000005,9428
910,1.2750000000000006,9428
910,1.2760000000000007,9428
910,1.2770000000000006,9428
910,1.2780000000000005,9428
910,1.2790000000000006,9428
910,1.2800000000000007,9428
910,1.2810000000000006,9428
910,1.2820000000000005,9428
910,1.2830000000000006,9428
910,1.2840000000000007,9428
910,1.2850000000000006,9428
910,1.2860000000000005,9428
910,1.2870000000000006,9428
910,1.2880000000000007,9428
910,1.2890000000000006,9428
910,1.2900000000000005,9428
910,1.2910000000000006,9428
910,1.2920000000000007,9428
910,1.2930000000000006,9428
910,1.2940000000000005,9428
910,1.2950000000000006,9428
910,1.2960000000000007,9428
910,1.2970000000000006,9428
910,1.2980000000000005,9428
910,1.2990000000000006,9428
910,1.3000000000000007,9428
910,1.3010000000000006,9428
910,1.3020000000000005,9428
910,1.3030000000000006,9428
911,1.3040000000000007,9428
911,1.3050000000000006,9428
911,1.3060000000000005,9428
911,1.3070000000000006,9428
911,1.3080000000000007,9428
911,1.3090000000000006,9430
912,1.3100000000000005,9430
912,1.3110000000000006,9430
912,1.3120000000000007,9430
912,1.3130000000000006,9430
912,1.3140000000000005,9430
912,1.3150000000000006,9430
912,1.3160000000000007,9431
914,1.3170000000000006,9433
916,1.3180000000000005,9435
916,1.3190000000000006,9436
916,1.3200000000000007,9436
917,1.3210000000000006,9438
918,1.3220000000000005,9438
918,1.3230000000000006,9438
920,1.3240000000000007,9438
920,1.3250000000000006,9438
921,1.3260000000000005,9438
921,1.3270000000000006,9438
921,1.3280000000000007,9439
922,1.3290000000000006,9439
922,1.3300000000000005,9442
922,1.3310000000000006,9442
924,1.3320000000000007,9445
924,1.3330000000000006,9447
925,1.3340000000000005,9449
927,1.3350000000000006,9451
929,1.3360000000000007,9452
931,1.3370000000000006,9453
933,1.3380000000000005,9456
936,1.3390000000000006,9456
937,1.3400000000000007,9458
938,1.3410000000000006,9459
939,1.3420000000000005,9462
939,1.3430000000000006,9462
941,1.3440000000000007,9463
941,1.3450000000000006,9464
941,1.3460000000000005,9466
942,1.3470000000000006,9467
942,1.3480000000000008,9467
945,1.3490000000000006,9470
945,1.3500000000000005,9472
947,1.3510000000000006,9473
950,1.3520000000000008,9474
951,1.3530000000000006,9479
953,1.3540000000000005,9482
956,1.3550000000000006,9485
958,1.3560000000000008,9487
960,1.3570000000000007,9491
961,1.3580000000000005,9495
962,1.3590000000000007,9496
964,1.3600000000000008,9497
965,1.3610000000000007,9497
965,1.3620000000000005,9497
965,1.3630000000000007,9499
965,1.3640000000000008,9499
966,1.3650000000000007,9501
966,1.3660000000000005,9503
966,1.3670000000000007,9504
966,1.3680000000000008,9505
968,1.3690000000000007,9505
969,1.3700000000000006,9505
970,1.3710000000000007,9507
971,1.3720000000000008,9508
973,1.3730000000000007,9508
975,1.3740000000000006,9510
976,1.3750000000000007,9510
976,1.3760000000000008,9512
976,1.3770000000000007,9512
976,1.3780000000000006,9513
976,1.3790000000000007,9513
976,1.3800000000000008,9514
976,1.3810000000000007,9514
976,1.3820000000000006,9514
976,1.3830000000000007,9516
976,1.3840000000000008,9516
976,1.3850000000000007,9516
977,1.3860000000000006,9516
977,1.3870000000000007,9516
977,1.3880000000000008,9517
977,1.3890000000000007,9517
977,1.3900000000000006,9518
977,1.3910000000000007,9518
977,1.3920000000000008,9519
977,1.3930000000000007,9520
977,1.3940000000000006,9520
977,1.3950000000000007,9520
977,1.3960000000000008,9520
977,1.3970000000000007,9520
977,1.3980000000000006,9520
977,1.3990000000000007,9520
