fp,threshold,tp,tp_div_fp
0,0.623536114641599,0,
0,0.6242781469381545,1,inf
0,0.6255130563834331,2,inf
0,0.6265075438782022,3,inf
0,0.6273376978591992,4,inf
0,0.6277550278112959,5,inf
0,0.6281557185104031,6,inf
0,0.6286088788380257,7,inf
0,0.6290375953553496,8,inf
0,0.6291922418269795,9,inf
0,0.6293298741690996,10,inf
0,0.6296801278956176,11,inf
0,0.6298683332118836,12,inf
0,0.6300093020440071,13,inf
0,0.6302135076283152,14,inf
0,0.6303069033397031,15,inf
0,0.630529226786937,16,inf
0,0.6306465792951567,17,inf
0,0.6307968225722071,18,inf
0,0.6309990083226115,19,inf
0,0.6311757982123214,20,inf
0,0.6314603183097461,21,inf
0,0.6316551399335093,22,inf
0,0.6318184086794973,23,inf
0,0.6319414258790055,24,inf
0,0.6320250312325015,25,inf
0,0.6320963612258632,26,inf
0,0.6322012232667753,27,inf
0,0.6322813095376885,28,inf
0,0.6324888457513379,29,inf
0,0.6325409734251338,30,inf
0,0.6330166961800282,31,inf
0,0.6332634969045843,32,inf
0,0.6333585048377793,33,inf
0,0.6335772730447358,34,inf
0,0.6335904954959483,35,inf
0,0.6335914081478355,36,inf
0,0.6336226281936422,37,inf
0,0.6336482187034101,38,inf
0,0.6341215790109448,39,inf
0,0.634223601537711,40,inf
0,0.6342278242287801,41,inf
0,0.6342589220926065,42,inf
0,0.6346629031073054,43,inf
0,0.634669474646063,44,inf
0,0.6347900257146688,45,inf
0,0.6349949784927141,46,inf
0,0.635004436302079,47,inf
0,0.6351120922332185,48,inf
0,0.6351122519394282,49,inf
0,0.6351780645027431,50,inf
0,0.6351866583672776,51,inf
0,0.6352447237149171,52,inf
0,0.6352656104874136,53,inf
0,0.6354831402640261,54,inf
0,0.6354915270060318,55,inf
0,0.6356659293336008,56,inf
0,0.6357448437537425,57,inf
0,0.6358031334373806,58,inf
0,0.6358330475436261,59,inf
0,0.6358722899449736,60,inf
0,0.6360633658337621,61,inf
0,0.6360643008475033,62,inf
0,0.636115321756469,63,inf
0,0.6363295420250508,64,inf
0,0.6363482748380187,65,inf
0,0.6365117361449818,66,inf
0,0.6366187297091659,67,inf
0,0.6366218764901734,68,inf
0,0.63684610466136,69,inf
0,0.6368521346960346,70,inf
0,0.6368591745699698,71,inf
0,0.6371014846953537,72,inf
0,0.6371464893072363,73,inf
0,0.6371878767322796,74,inf
0,0.6373661403575432,75,inf
0,0.6373840525834977,76,inf
0,0.6374000193179715,77,inf
0,0.6374202030737642,78,inf
0,0.6374330298540752,79,inf
0,0.6374945988911441,80,inf
0,0.637546049477092,81,inf
0,0.6376402814569083,82,inf
0,0.6377002083754174,83,inf
0,0.6377872272121355,84,inf
0,0.6378104817233503,85,inf
0,0.6378416923839071,86,inf
0,0.6378497238113111,87,inf
0,0.6379172027260368,88,inf
0,0.6379201402944769,89,inf
0,0.6379392673237331,90,inf
0,0.6379618097437612,91,inf
0,0.6382478601303424,92,inf
0,0.6383009690904105,93,inf
0,0.6384225974409954,94,inf
0,0.6384578263326246,95,inf
0,0.6385760044137291,96,inf
0,0.6387180584645982,97,inf
0,0.6387301113656002,98,inf
0,0.6387339995823903,99,inf
0,0.6387428005729564,100,inf
0,0.6388432546696361,101,inf
0,0.6389510883877787,102,inf
0,0.6389663899426009,103,inf
